id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15
7129300520,10/13/2014,221900.0,3,1.0,1180,5650,1.0,,NONE,Average,7 Average,1180,0.0,1955,0.0,98178,47.5112,-122.257,1340,5650
6414100192,12/9/2014,538000.0,3,2.25,2570,7242,2.0,NO,NONE,Average,7 Average,2170,400.0,1951,1991.0,98125,47.721000000000004,-122.319,1690,7639
5631500400,2/25/2015,180000.0,2,1.0,770,10000,1.0,NO,NONE,Average,6 Low Average,770,0.0,1933,,98028,47.7379,-122.23299999999999,2720,8062
2487200875,12/9/2014,604000.0,4,3.0,1960,5000,1.0,NO,NONE,Very Good,7 Average,1050,910.0,1965,0.0,98136,47.5208,-122.39299999999999,1360,5000
1954400510,2/18/2015,510000.0,3,2.0,1680,8080,1.0,NO,NONE,Average,8 Good,1680,0.0,1987,0.0,98074,47.6168,-122.045,1800,7503
7237550310,5/12/2014,1230000.0,4,4.5,5420,101930,1.0,NO,NONE,Average,11 Excellent,3890,1530.0,2001,0.0,98053,47.6561,-122.005,4760,101930
1321400060,6/27/2014,257500.0,3,2.25,1715,6819,2.0,NO,NONE,Average,7 Average,1715,?,1995,0.0,98003,47.3097,-122.32700000000001,2238,6819
2008000270,1/15/2015,291850.0,3,1.5,1060,9711,1.0,NO,,Average,7 Average,1060,0.0,1963,0.0,98198,47.4095,-122.315,1650,9711
2414600126,4/15/2015,229500.0,3,1.0,1780,7470,1.0,NO,NONE,Average,7 Average,1050,730.0,1960,0.0,98146,47.5123,-122.337,1780,8113
3793500160,3/12/2015,323000.0,3,2.5,1890,6560,2.0,NO,NONE,Average,7 Average,1890,0.0,2003,0.0,98038,47.3684,-122.031,2390,7570
1736800520,4/3/2015,662500.0,3,2.5,3560,9796,1.0,,NONE,Average,8 Good,1860,1700.0,1965,0.0,98007,47.6007,-122.145,2210,8925
9212900260,5/27/2014,468000.0,2,1.0,1160,6000,1.0,NO,NONE,Good,7 Average,860,300.0,1942,0.0,98115,47.69,-122.292,1330,6000
114101516,5/28/2014,310000.0,3,1.0,1430,19901,1.5,NO,NONE,Good,7 Average,1430,0.0,1927,,98028,47.7558,-122.229,1780,12697
6054650070,10/7/2014,400000.0,3,1.75,1370,9680,1.0,NO,NONE,Good,7 Average,1370,0.0,1977,0.0,98074,47.6127,-122.045,1370,10208
1175000570,3/12/2015,530000.0,5,2.0,1810,4850,1.5,NO,NONE,Average,7 Average,1810,0.0,1900,0.0,98107,47.67,-122.39399999999999,1360,4850
